대피시설명,지번주소,도로명주소,대피시설 인원수,경도,위도
한국전력강서양천지사,서울특별시 양천구 신정동 319-1,서울특별시 양천구 목동서로 313 (신정동 한국전력강서지점),1151,126.868758,37.520086
출입국관리사무소,서울특별시 양천구 신정동 319-2,서울특별시 양천구 목동동로 151 (신정동 서울출입국관리사무소),1192,126.869624,37.519247
평광교회,서울특별시 양천구 목동 909-2,서울특별시 양천구 목동서로 13 (목동),1541,126.884365,37.538217
화성프라자,서울특별시 양천구 목동 909-5,서울특별시 양천구 목동동로 435 (목동),592,126.884848,37.537386
신월프라자,서울특별시 양천구 신월동 128,서울특별시 양천구 곰달래로5길 17 (신월동 신월프라자),8727,126.833603,37.53111
신월1동주민센터,서울특별시 양천구 신월동 135-18,서울특별시 양천구 곰달래로1길 38 (신월동 신월1동주민센터),318,126.831527,37.532803
보성아파트,서울특별시 양천구 신월동 465-5,서울특별시 양천구 오목로13길 33 (신월동 신월보성아파트),1463,126.844525,37.525881
우당아파트,서울특별시 양천구 신월동 506-1,서울특별시 양천구 오목로 90 (신월동),4720,126.847848,37.523044
신월4동주민센터,서울특별시 양천구 신월동 425-2,서울특별시 양천구 오목로5길 34 (신월동),736,126.840078,37.524669
금용아파트,서울특별시 양천구 신월동 533-1,서울특별시 양천구 신월로17길 22 (신월동 금용아파트),4555,126.842411,37.520564
성은교회,서울특별시 양천구 신월동 64-2,서울특별시 양천구 화곡로 100 (신월동),684,126.833176,37.539378
승원빌딩,서울특별시 양천구 신월동 992-3,서울특별시 양천구 지양로 22 (신월동 승원빌딩),1362,126.837444,37.518675
신월7동주민센터,서울특별시 양천구 신월동 962- 10,서울특별시 양천구 남부순환로70길 16-3 (신월동 신월7동주민센터),200,126.834731,37.521892
신월시영아파트,서울특별시 양천구 신월동 987-1,서울특별시 양천구 신월로 99 (신월동 신월시영아파트),12413,126.835156,37.518456
현대프라자,서울특별시 양천구 신정동 1021-9,서울특별시 양천구 중앙로32길 61 (신정동),3084,126.860316,37.520083
신월3동주민센터,서울특별시 양천구 신월동 167- 5,서울특별시 양천구 남부순환로54길 5 (신월동),242,126.829078,37.53363
오목교역,서울특별시 양천구 목동 406-30,서울특별시 양천구 오목로 지하 342 (목동 오목교역),15063,126.875353,37.524451
목동역,서울특별시 양천구 목동 926-3,서울특별시 양천구 오목로 지하 245 (목동 목동역),8975,126.864728,37.526178
방송회관,서울특별시 양천구 목동 923-5,서울특별시 양천구 목동동로 233 (목동 한국방송회관),17912,126.871381,37.526981
한국통신,서울특별시 양천구 목동 924,서울특별시 양천구 목동서로 201 (목동),19550,126.871104,37.529428
한국전파진흥협회,서울특별시 양천구 목동 124-1,서울특별시 양천구 목동중앙로13나길 3 (목동 한국전파진흥협회),1349,126.880614,37.546174
양천우체국,서울특별시 양천구 목동 905-16,서울특별시 양천구 목동서로 117 (목동 양천우체국),5024,126.876203,37.532864
양천도서관,서울특별시 양천구 목동 905,서울특별시 양천구 목동서로 113 (목동 양천도서관),1241,126.876229,37.533559
서울에너지공사,서울특별시 양천구 목동 900,서울특별시 양천구 목동서로 20 (목동),989,126.883763,37.540116
양정중고등학교,서울특별시 양천구 목동 911-2,서울특별시 양천구 안양천로 1039 (목동 양정중학교.양정고등학교),1593,126.887734,37.535392
이화여대부속목동병원,서울특별시 양천구 목동 911-1,서울특별시 양천구 안양천로 1071 (목동 이화여대목동병원),11763,126.886746,37.536983
경향렉스빌아파트,서울특별시 동작구 상도동 445,서울특별시 동작구 양녕로23길 9,12295,126.941731,37.495325
동광교회,서울특별시 동작구 상도동 190-8,서울특별시 동작구 성대로1길 26,3918,126.934909,37.501851
도화 공영주차장,서울특별시 동작구 상도동 244-50,서울특별시 동작구 성대로17길 지하 52,2591,126.935245,37.499808
삼익아파트,서울특별시 동작구 상도동 413,서울특별시 동작구 양녕로26나길 8,1435,126.944561,37.497366
롯데캐슬비엔아파트,서울특별시 동작구 상도동 530-1,서울특별시 동작구 양녕로 170,1435,126.943643,37.497001
우성1차아파트,서울특별시 동작구 신대방동 565,서울특별시 동작구 여의대방로 22,7379,126.911642,37.49106
현대아파트,서울특별시 동작구 신대방동 707,서울특별시 동작구 여의대방로 28,5938,126.911692,37.495273
사당삼익그린뷰아파트,서울특별시 동작구 사당동 1150,서울특별시 동작구 남부순환로255길 21,8160,126.968892,37.477376
진흥아파트,서울특별시 동작구 사당동 1142,서울특별시 동작구 사당로16아길 43,4536,126.969329,37.480562
사당휴먼시아아파트,서울특별시 동작구 사당동 1154,서울특별시 동작구 사당로16길 96,16236,126.970139,37.479495
사당제5동주민센터,서울특별시 동작구 사당동 228-11,서울특별시 동작구 사당로2가길 219,391,126.96698,37.485661
사당자이아파트,서울특별시 동작구 사당동 1139,서울특별시 동작구 사당로2가길 102,16699,126.963417,37.488373
남해오네뜨아파트,서울특별시 동작구 사당동 1143,서울특별시 동작구 사당로2가길 173,5992,126.965527,37.487012
삼호그린아파트,서울특별시 동작구 사당동 1138,서울특별시 동작구 사당로2가길 188,9269,126.965523,37.486443
장은해그린아파트,서울특별시 동작구 사당동 1145,서울특별시 동작구 사당로2길 40,3615,126.963413,37.491917
상도역,서울특별시 동작구 상도1동 702-1,서울특별시 동작구 상도로 지하 272,11200,126.947701,37.503209
숭실대학교한국기독교박물관,서울특별시 동작구 상도동 511,서울특별시 동작구 상도로 369,6424,126.95516,37.49643
숭실대입구역,서울특별시 동작구 상도동 514,서울특별시 동작구 상도로 지하 378,11339,126.954061,37.495813
힐스테이트 상도 센트럴파크,서울특별시 동작구 상도동 531,서울특별시 동작구 상도로 346-1,54176,126.951667,37.49679
힐스테이트 상도 프레스티지,서울특별시 동작구 상도동 533,서울특별시 동작구 상도로 346-2,47940,126.948272,37.494751
삼성래미안3차아파트,서울특별시 동작구 상도동 431,서울특별시 동작구 상도로53길 8,2000,126.954053,37.500862
삼호아파트 지하주차장,서울특별시 동작구 상도동 408,서울특별시 동작구 상도로 407,603,126.957771,37.493919
건영아파트,서울특별시 동작구 상도동 414,서울특별시 동작구 만양로 26,13092,126.949543,37.507632
장승배기역,서울특별시 동작구 상도동 26-20,서울특별시 동작구 상도로 지하 188,11030,126.938747,37.504665
청화병원,서울특별시 동작구 노량진동 311-8,서울특별시 동작구 장승배기로 108,706,126.940242,37.507141
대방동주민센터,서울특별시 동작구 대방동 350-8,서울특별시 동작구 여의대방로44길 20,280,126.926325,37.50815
유한양행,서울특별시 동작구 대방동 49-6,서울특별시 동작구 노량진로 74,20928,126.934027,37.51272
성원아파트,서울특별시 동작구 대방동 500,서울특별시 동작구 여의대방로44길 9,2507,126.925917,37.509732
보라매코오롱하늘채아파트,서울특별시 동작구 대방동 509,서울특별시 동작구 여의대방로24다길 40,6807,126.922879,37.498514
솔표빌딩,서울특별시 동작구 대방동 339-1,서울특별시 동작구 노량진로 26,10578,126.928927,37.512952
사당1동주민센터,서울특별시 동작구 사당동 1004-52,서울특별시 동작구 동작대로17길 28,716,126.978771,37.483072
한국엔지니어링진흥협회,서울특별시 동작구 사당동 1049-1,서울특별시 동작구 남부순환로 2017,973,126.97279,37.476202
사당역,서울특별시 동작구 사당동 588-44,서울특별시 동작구 동작대로 지하 3,34533,126.981595,37.476863
쌍립빌딩,서울특별시 동작구 사당동 1008-22,서울특별시 동작구 동작대로 59,14819,126.981485,37.482001
삼성아파트,서울특별시 동작구 사당동 1037-9,서울특별시 동작구 사당로26길 130-6,6387,126.977647,37.478034
르메이에르아파트,서울특별시 동작구 사당동 1141,서울특별시 동작구 사당로20길 119,5847,126.973617,37.478433
동작역 4호선,서울특별시 동작구 동작동 327-1,서울특별시 동작구 현충로 257,1249,126.980267,37.50287
사당신동아아파트5단지,서울특별시 동작구 사당동 1137-1,서울특별시 동작구 동작대로29길 118,12150,126.97715,37.491041
사당동삼성아파트,서울특별시 동작구 사당동 1140,서울특별시 동작구 동작대로35아길 14,2635,126.979958,37.493103
이수역 7호선,서울특별시 동작구 사당동 144-4,서울특별시 동작구 사당로 지하 310,22735,126.981023,37.485015
사당2동주민센터,서울특별시 동작구 사당동 105-12,서울특별시 동작구 동작대로29길 52,280,126.979253,37.488713
사당극동아파트,서울특별시 동작구 사당동 105,서울특별시 동작구 동작대로29길 119,12701,126.976055,37.490889
사당우성아파트2단지,서울특별시 동작구 사당동 105,서울특별시 동작구 동작대로29길 91,7875,126.976296,37.48802
총신대역 4호선,서울특별시 동작구 사당동 736-1,서울특별시 동작구 동작대로 지하 117,3200,126.982198,37.487553
동작역 9호선,서울특별시 동작구 동작동 326,서울특별시 동작구 현충로 지하 220,19339,126.977938,37.503067
대림아파트,서울특별시 동작구 사당동 169-8,서울특별시 동작구 사당로17길 52,436,126.973148,37.487429
현대아파트,서울특별시 동작구 사당동 169-32,서울특별시 동작구 사당로13길 86,1167,126.970502,37.487612
사당3동주민센터,서울특별시 동작구 사당동 169-12,서울특별시 동작구 사당로17길 86,240,126.97204,37.486686
경남아너스빌,서울특별시 동작구 사당동 1134,서울특별시 동작구 사당로9가길 82,9151,126.967132,37.488281
사당롯데캐슬아파트,서울특별시 동작구 사당동 1149,서울특별시 동작구 사당로27길 181,7973,126.971627,37.490553
삼성래미안아파트,서울특별시 동작구 사당동 1133,서울특별시 동작구 사당로23바길 9,53915,126.96919,37.489608
롯데캐슬아파트,서울특별시 동작구 사당동 1132,서울특별시 동작구 사당로27길 190,35293,126.9716,37.49096
남성역,서울특별시 동작구 사당동 산 25-33,서울특별시 동작구 사당로 지하 218,5913,126.971706,37.484444
신풍두산위브센티움,서울특별시 영등포구 신길동 425번지 8호,서울특별시 영등포구 대방천로 155 (신길동 신풍두산위브센티움),100,126.908211,37.499558
신길1동 신길자이아파트,서울특별시 영등포구 신길동 4938번지 신길자이아파트,서울특별시 영등포구 가마산로79길 19-0 (신길동),200,126.916308,37.506592
삼성래미안 프레비뉴 아파트,서울특별시 영등포구 신길동 4945번지,서울특별시 영등포구 가마산로 442 (신길동 래미안프레비뉴),56884,126.909527,37.504982
보라매 두산위브 아파트 지하주차장,서울특별시 영등포구 신길동 4497번지,서울특별시 영등포구 여의대방로9길 5 (신길동 보라매두산위브),7005,126.914244,37.497412
신대림2차신동아파밀리에아파트,서울특별시 영등포구 대림동 1125번지,서울특별시 영등포구 디지털로 420 (대림동 신대림2차신동아파밀리에),1186,126.904919,37.493405
우성2차아파트,서울특별시 영등포구 대림동 695번지,서울특별시 영등포구 도림로47길 1 (대림동),345,126.899908,37.495612
진덕빌딩(지하주차장),서울특별시 영등포구 당산동2가 160번지 2호,서울특별시 영등포구 선유동1로 22 (당산동2가 당산주차빌딩),1233,126.892135,37.524008
영등포뉴타운지하상가,서울특별시 영등포구 영등포동3가 31번지,서울특별시 영등포구 영중로 지하 40 (영등포동3가 영등포뉴타운지하쇼핑몰),8949,126.904869,37.519867
서울남부고용노동지청,서울특별시 영등포구 양평동1가 115번지,서울특별시 영등포구 선유로 120 (양평동1가 노동부 남부지청),7597,126.890992,37.524758
영등포세무서(지하주차장),서울특별시 영등포구 당산동3가 552번지 1호,서울특별시 영등포구 선유동1로 38 (당산동3가 영등포세무서),2007,126.892778,37.525294
영등포구청별관(A동 지하층),서울특별시 영등포구 당산동3가 560번지,서울특별시 영등포구 선유동1로 80 (당산동3가 영등포구청별관),894,126.894467,37.52862
7호선대림역,서울특별시 영등포구 대림동 1050번지 17호,서울특별시 영등포구 도림로 지하 137 (대림동 대림역),11341,126.896612,37.492743
순영웰라이빌,서울특별시 영등포구 영등포동 648번지,서울특별시 영등포구 영등포로62길 42 (영등포동),6550,126.913539,37.516542
대우이안(아)12 (101동~104동 지하),서울특별시 영등포구 양평동3가 54번지,서울특별시 영등포구 선유로33길 18 (양평동3가 양평동 대우이안2),5224,126.889506,37.527093
신동아하이팰리스 (전동 지하),서울특별시 영등포구 양평동2가 1번지 1호,서울특별시 영등포구 선유서로 67 (양평동2가 신동아하이팰리스),21625,126.884455,37.522093
래미안에스티움,서울특별시 영등포구 신길동 2039번지,서울특별시 영등포구 신풍로 77 (신길동 래미안에스티움),8266,126.911545,37.50042
쌍용플래티넘시티1단지,서울특별시 영등포구 도림동 820번지,서울특별시 영등포구 도영로7길 15 (도림동 쌍용플래티넘시티1단지),11843,126.893624,37.509357
영등포제1스포츠센터,서울특별시 영등포구 신길동 426번지 3호,서울특별시 영등포구 신풍로 1 (신길동 영등포제1스포츠센터),2700,126.906305,37.500542
브라운스톤 아파트,서울특별시 영등포구 영등포동7가 202번지,서울특별시 영등포구 버드나루로12가길 13 (영등포동7가 브라운스톤 영등포아파트),500,126.911451,37.524184
영등포아트자이아파트,서울특별시 영등포구 도림동 821번지,서울특별시 영등포구 도영로 66 (도림동 영등포아트자이아파트),51852,126.900177,37.510395
반도유보라팰리스(전동 지하1층~지하2층),서울특별시 영등포구 당산동4가 96번지,서울특별시 영등포구 국회대로 597 (당산동4가 당산동 반도유보라팰리스),10827,126.900791,37.527913
삼성래미안4차(아)(전동 지하1층~지하2층),서울특별시 영등포구 당산동5가 42번지,서울특별시 영등포구 당산로 214 (당산동5가 당산 삼성 래미안),29776,126.902834,37.532931
지하철7호선보라매역,서울특별시 동작구 대방동 466번지 51호,서울특별시 동작구 상도로 지하 2 (대방동 7호선 보라매역),11232,126.920486,37.499911
두산위브아파트,서울특별시 영등포구 영등포동 649번지,서울특별시 영등포구 신길로60나길 9 (영등포동 두산위브),13550,126.912441,37.51477
신대림자이아파트,서울특별시 영등포구 대림동 1121번지,서울특별시 영등포구 시흥대로173길 13 (대림동 신대림자이),25667,126.902342,37.486551
한솔솔파크아파트,서울특별시 영등포구 대림동 1123번지,서울특별시 영등포구 도림천로 431 (대림동 新 대림 한솔 솔파크),9564,126.899687,37.487676
여의동주민자치센터,서울특별시 영등포구 여의도동 53번지 22호,서울특별시 영등포구 국제금융로 124 (여의도동 여의동주민센터),848,126.934614,37.517678
신길7동주민센터,서울특별시 영등포구 신길동 897번지 3호,서울특별시 영등포구 여의대방로43길 10 (신길동 신길7동주민센터),461,126.921514,37.506369
문래힐스테이트,서울특별시 영등포구 문래동3가 94번지,서울특별시 영등포구 문래로 82 (문래동3가 문래힐스테이트),48124,126.891035,37.519194
삼성래미안아파트 지하주차장 (102동),서울특별시 영등포구 신길동 4934번지,서울특별시 영등포구 가마산로79길 7 (신길동),11350,126.914598,37.50514
삼성래미안아파트 지하주차장(106동),서울특별시 영등포구 신길동 4934번지,서울특별시 영등포구 가마산로79길 7 (신길동 삼성래미안아파트),9196,126.914598,37.50514
영등포아트홀(지하층),서울특별시 영등포구 당산동3가 3번지,서울특별시 영등포구 국회대로 596 (당산동3가 영등포구민회관),857,126.900109,37.526009
지하철7호선신풍역,서울특별시 영등포구 신길동 3599번지,서울특별시 영등포구 신풍로 지하 27 (신길동 신풍역),10499,126.909889,37.500119
9호선국회의사당역,서울특별시 영등포구 여의도동 1번지 6호,서울특별시 영등포구 국회대로 지하 758 (여의도동),13441,126.917886,37.528014
9호선여의도역,서울특별시 영등포구 여의도동 3번지,서울특별시 영등포구 여의나루로 지하 40 (여의도동 여의도역),11357,126.924485,37.521875
9호선샛강역,서울특별시 영등포구 여의도동 5번지 6호,서울특별시 영등포구 의사당대로 지하 166 (여의도동 샛강역),12482,126.92908,37.51663
지하철9호선선유도역,서울특별시 영등포구 양평동5가 66번지 1호,서울특별시 영등포구 양평로 지하 124 (양평동5가 선유도역),10586,126.89342,37.538151
지하철9호선당산역(지하),서울특별시 영등포구 당산동6가 227번지 1호,서울특별시 영등포구 양평로 지하 40 (당산동6가 당산역),8121,126.902171,37.533741
당산푸르지오아파트,서울특별시 영등포구 영등포동8가 91번지,서울특별시 영등포구 영중로 154 (영등포동8가 당산 푸르지오),38558,126.906067,37.531188
양평동우림이비지센터,서울특별시 영등포구 양평동3가 16번지,서울특별시 영등포구 양산로 43 (양평동3가 양평동우림 이 비지센타),13366,126.887942,37.525744
보라매 경남아너스빌 아파트 지하주차장(전동지하),서울특별시 영등포구 신길동 4780번지,서울특별시 영등포구 여의대방로 25 (신길동),10756,126.908978,37.494712
동아에코빌,서울특별시 영등포구 도림동 165번지 1호,서울특별시 영등포구 도림로 365 (도림동 동아에코빌),16261,126.898684,37.508891
한라아파트,서울특별시 영등포구 도림동 231번지 1호,서울특별시 영등포구 도신로15라길 5-7 (도림동 한라아파트),6385,126.897378,37.507864
영등포푸르지오아파트,서울특별시 영등포구 영등포동 647번지,서울특별시 영등포구 도신로29길 28 (영등포동 영등포푸르지오),73333,126.902326,37.511795
대림동1차한신아파트,서울특별시 영등포구 대림동 887번지 1호,서울특별시 영등포구 디지털로69길 13 (대림동 대림동1차한신아파트),8586,126.903453,37.494472
대림동현대아파트,서울특별시 영등포구 대림동 946번지 1호,서울특별시 영등포구 시흥대로187길 12 (대림동 대림동현대아파트),7494,126.908187,37.493034
신길1동 경남아파트,서울특별시 영등포구 신길동 67번지 1호,서울특별시 영등포구 영등포로65길 3 (신길동 신길동경남아파트),15007,126.918406,37.515047
신길역 환승통로,서울특별시 영등포구 신길동 41번지 1호,서울특별시 영등포구 영등포로 327 (신길동 신길역),2874,126.917225,37.517001
삼성아파트112동 지하주차장,서울특별시 영등포구 신길동 4934번지 2호,서울특별시 영등포구 신길로42길 25 112동 1층 (신길동),2887,126.913735,37.507319
한화꿈에그린아파트주차장,서울특별시 영등포구 신길동 4937번지,서울특별시 영등포구 신길로 119 (신길동 신길뉴타운 한화 꿈에그린),15761,126.90971,37.50351
대성유니드아파트 지하주차장,서울특별시 영등포구 신길동 389번지,서울특별시 영등포구 가마산로50길 27 (신길동 신길동 대성 유니드 아파트),3664,126.902931,37.501645
삼성래미안아파트 2단지 지하주차장,서울특별시 영등포구 신길동 4934번지 1호,서울특별시 영등포구 신길로42길 35 108동 (신길동),10111,126.914966,37.507594
한강미디어고등학교,서울특별시 영등포구 양평동4가 315번지 1호,서울특별시 영등포구 선유로55길 22 (양평동4가 한강미디어고등학교),1800,126.89724,37.539291
건영아파트,서울특별시 영등포구 신길동 364번지,서울특별시 영등포구 도림로 313 (신길동 건영아파트),793,126.901419,37.505442
우성5차아파트,서울특별시 영등포구 신길동 4933번지,서울특별시 영등포구 도신로 100 (신길동 신길우성5차아파트),7893,126.903275,37.506738
우성1차아파트,서울특별시 영등포구 신길동 365번지,서울특별시 영등포구 도신로 68 (신길동 신길우성아파트),5009,126.89979,37.505762
정오빌딩,서울특별시 영등포구 신길동 1300번지,서울특별시 영등포구 영등포로 422 (신길동),855,126.924809,37.512392
대방지하차도,서울특별시 영등포구 신길동 1376번지 1호,서울특별시 영등포구 영등포로 423 (신길동 신양치안센터),344,126.925181,37.512881
삼환아파트,서울특별시 영등포구 신길동 897번지 2호,서울특별시 영등포구 여의대방로43나길 25 (신길동 삼환아파트),5535,126.920789,37.506624
한성아파트,서울특별시 영등포구 신길동 769번지 1호,서울특별시 영등포구 가마산로 575 (신길동 한성아파트),2764,126.919574,37.504841
천록빌딩,서울특별시 영등포구 신길동 1351번지 3호,서울특별시 영등포구 여의대방로61길 2 (신길동 천록빌딩),360,126.926044,37.514358
현대건설기술교육원,서울특별시 영등포구 대림동 1100번지 1호,서울특별시 영등포구 도림천로19길 12-2 (대림동),1692,126.901183,37.487141
안국약품빌딩,서울특별시 영등포구 대림동 993번지 75호,서울특별시 영등포구 시흥대로 613 (대림동),1803,126.904611,37.487353
현대1차아파트,서울특별시 영등포구 대림동 785번지 1호,서울특별시 영등포구 도신로4길 14 (대림동 현대아파트),1916,126.893811,37.501667
신동아아파트,서울특별시 영등포구 대림동 777번지 1호,서울특별시 영등포구 대림로31길 39 (대림동),4416,126.894786,37.495333
우성아파트,서울특별시 영등포구 대림동 762번지 1호,서울특별시 영등포구 도림로 187 (대림동),2800,126.900592,37.495566
현대2차아파트,서울특별시 영등포구 대림동 785번지,서울특별시 영등포구 도신로4길 6 (대림동),5276,126.894248,37.502644
현대3차아파트,서울특별시 영등포구 대림동 608번지 1호,서울특별시 영등포구 도신로 31 (대림동),976,126.895153,37.506234
우성4차아파트,서울특별시 영등포구 신길동 102번지 8호,서울특별시 영등포구 영등포로64길 11 (신길동 신길우성아파트),3700,126.917357,37.514186
영등포역사,서울특별시 영등포구 영등포동 618번지 496호,서울특별시 영등포구 경인로 846 (영등포동 영등포 민자역사),20448,126.907668,37.515628
영등포역지하도,서울특별시 영등포구 영등포동 618번지 496호,서울특별시 영등포구 경인로 846 (영등포동 영등포 민자역사),8084,126.907668,37.515669
대림1동어린이집,서울특별시 영등포구 대림동 899번지 2호,서울특별시 영등포구 디지털로 441 (대림동 구립대림제1동복지관),292,126.905842,37.495462
문영칸타빌레아파트,서울특별시 영등포구 대림동 1061번지,서울특별시 영등포구 도림천로 391 (대림동 대림동문영칸타빌레아파트),901,126.897019,37.489718
코오롱아파트,서울특별시 영등포구 대림동 607번지 1호,서울특별시 영등포구 도영로 2-5 (대림동),240,126.894325,37.507143
양평2동 거성아파트 지하주차장 12층,서울특별시 영등포구 양평동3가 90번지 1호,서울특별시 영등포구 선유로43가길 24 (양평동3가 거성파스텔아파트),3700,126.892012,37.531459
당산근린공원(지하주차장),서울특별시 영등포구 당산동3가 385번지,서울특별시 영등포구 당산로27길 12 (당산동3가),7565,126.895135,37.525218
당산제1동주민센터(지하층),서울특별시 영등포구 당산동3가 250번지,서울특별시 영등포구 양산로23길 11 (당산동3가 당산1동주민자치센터),147,126.897405,37.525128
신길종합사회복지관,서울특별시 영등포구 신길동 465번지 1호,서울특별시 영등포구 영등포로84길 24-5 (신길동 신길종합사회복지관),4368,126.921433,37.511118
영등포구청(지하상황실),서울특별시 영등포구 당산동3가 385번지 1호,서울특별시 영등포구 당산로 123 (당산동3가 영등포구청),670,126.896367,37.525963
영등포시장앞지하상가,서울특별시 영등포구 영등포동5가 20번지 62호,서울특별시 영등포구 영등포로 219 (영등포동5가),1534,126.90575,37.520122
영등포로터리지하상가,서울특별시 영등포구 영등포동4가 434번지 5호,서울특별시 영등포구 영중로 9 (영등포동4가 신세계백화점),7677,126.905517,37.517148
영등포역앞지하상가,서울특별시 영등포구 영등포동 618번지 496호,서울특별시 영등포구 경인로 846 (영등포동 영등포 민자역사),5677,126.907633,37.515669
지하철5호선신길전철역,서울특별시 영등포구 영등포동1가 35번지,서울특별시 영등포구 경인로114가길 지하 9 (영등포동1가 신길역),15883,126.914356,37.517664
영등포시장역,서울특별시 영등포구 영등포동5가 62번지 1호,서울특별시 영등포구 양산로 지하 200 (영등포동5가 영등포시장역),17033,126.904908,37.522744
중소기업중앙회,서울특별시 영등포구 여의도동 16번지 2호,서울특별시 영등포구 은행로 30 (여의도동 중소기업중앙회),9720,126.922644,37.528189
여의도국회앞지하보도(더？騁팀狗５樣컵㈍？),서울특별시 영등포구 여의도동 17번지,서울특별시 영등포구 의사당대로 38 (여의도동 여의도더샵아일랜드파크),4443,126.918618,37.52603
지하철5호선여의나루역,서울특별시 영등포구 여의도동 84번지 4호,서울특별시 영등포구 여의동로 지하 343 (여의도동 여의나루역),6141,126.932864,37.527085
5호선여의도역,서울특별시 영등포구 여의도동 3번지,서울특별시 영등포구 여의나루로 지하 40 (여의도동 여의도역),8270,126.924431,37.521828
63한화생명빌딩,서울특별시 영등포구 여의도동 60번지,서울특별시 영등포구 63로 50 (여의도동 63한화생명빌딩),27545,126.939909,37.519664
지하철 2호선 영등포구청역,서울특별시 영등포구 당산동3가 270번지 1호,서울특별시 영등포구 당산로 지하 121 (당산동3가),8988,126.896627,37.525689
지하철 5호선 영등포구청역,서울특별시 영등포구 당산동3가 556번지 1호,서울특별시 영등포구 양산로 지하 116 (당산동3가 영등포구청역),13015,126.895297,37.524214
유통상가(자하층),서울특별시 영등포구 당산동2가 30번지 2호,서울특별시 영등포구 영등포로 109 (당산동2가 영등포유통상가),2184,126.893917,37.522417
동양타워빌딩(지하2층~지하5층),서울특별시 영등포구 당산동4가 93번지 1호,서울특별시 영등포구 국회대로 543 (당산동4가 동양석판사옥),5415,126.895333,37.529175
지하철2호선문래역,서울특별시 영등포구 문래동3가 68번지 1호,서울특별시 영등포구 당산로 지하 28 (문래동3가 문래역),7844,126.894763,37.517921
문래청소년회관,서울특별시 영등포구 문래동3가 73번지,서울특별시 영등포구 문래로 110 (문래동3가 문래청소년회관),5225,126.894115,37.518844
현대2차아파트,서울특별시 영등포구 문래동6가 45번지,서울특별시 영등포구 문래로4길 4 (문래동6가 현대아파트),2560,126.883536,37.520375
현대3차아파트,서울특별시 영등포구 문래동5가 21번지,서울특별시 영등포구 선유서로 6 (문래동5가 현대3차아파트),977,126.884687,37.515953
미원아파트,서울특별시 영등포구 문래동6가 54번지,서울특별시 영등포구 문래로8길 5 (문래동6가 문래동미원아파트),2048,126.886419,37.519878
베어스타운아파트,서울특별시 영등포구 문래동6가 38번지 1호,서울특별시 영등포구 선유서로 40 (문래동6가 베어스타운아파트),7465,126.884837,37.51902
현대6차아파트,서울특별시 영등포구 문래동6가 55번지 1호,서울특별시 영등포구 선유서로 31 (문래동6가 문래동현대6차아파트),1788,126.883964,37.518639
현대5차아파트,서울특별시 영등포구 문래동5가 23번지 1호,서울특별시 영등포구 선유서로9길 5 (문래동5가 문래현대5차아파트),6200,126.883259,37.517889
지하철5호선양평역,서울특별시 영등포구 양평동2가 33번지 79호,서울특별시 영등포구 양산로 지하 21 (양평동2가),2776,126.886866,37.525512
한신아파트 지하주차장 12층,서울특별시 영등포구 양평동5가 76번지,서울특별시 영등포구 양평로24길 9 (양평동5가 양평동한신아파트),7200,126.891746,37.54028
아이파크아파트,서울특별시 구로구 개봉동 489,서울특별시 구로구 개봉로2길 133-15,37494,126.860071,37.489504
한진아파트,서울특별시 구로구 개봉동 478번지,서울특별시 구로구 개봉로3길 87,33000,126.850971,37.485899
영화아이닉스아파트,서울특별시 구로구 개봉동 488번지,서울특별시 구로구 개봉로1길 188,7560,126.849426,37.482986
대상아파트,서울특별시 구로구 개봉동 477번지,서울특별시 구로구 개봉로1길 170,2000,126.849629,37.482322
거성아파트,서울특별시 구로구 개봉동 270번지 80호,서울특별시 구로구 개봉로15길 91,1600,126.851081,37.489645
개봉3동주민센터,서울특별시 구로구 개봉동 360번지 7호,서울특별시 구로구 개봉로3길 47-5,168,126.853827,37.485954
우성현대아파트,서울특별시 구로구 고척동 76-55,서울특별시 구로구 중앙로1길 18-19,761,126.863149,37.498577
우성꿈동산,서울특별시 구로구 고척동 321,서울특별시 구로구 경인로47다길 34-7,3149,126.865958,37.503274
센츄리아파트,서울특별시 구로구 고척동 320,서울특별시 구로구 중앙로12길 12,3095,126.861878,37.504959
일이삼전자타운,서울특별시 구로구 고척동 73-3,서울특별시 구로구 경인로 393-7,3414,126.863047,37.497408
삼환로즈빌,서울특별시 구로구 고척동 336,서울특별시 구로구 경인로 343,27676,126.857433,37.498303
고척도서관,서울특별시 구로구 고척동9번지14호,서울특별시 구로구 고척로45길 31,3351,126.853055,37.505346
구로구민체육센터,서울특별시 구로구 고척동9번지14호,서울특별시 구로구 고척로45길 39,759,126.853278,37.506582
고척2동 주민센터,서울특별시 구로구 고척동339번지2호,서울특별시 구로구 중앙로15길 22,79,126.858605,37.506649
을지로3구역지하쇼핑센터,,서울특별시 중구 을지로 지하131,17490,126.994078,37.566446
고척대우아파트,서울특별시 구로구 고척동296번지,서울특별시 구로구 고척로52길 48,44739,126.855114,37.503399
현대홈타운아파트,서울특별시 구로구 개봉동 480,서울특별시 구로구 개봉로 20길 158,22000,126.860737,37.492042
현대아파트,서울특별시 구로구 개봉동 481,서울특별시 구로구 개봉로 20길 6,68000,126.859308,37.49288
영화아파트,서울특별시 구로구 개봉동 475,서울특별시 구로구 경인로40길 11,3600,126.859423,37.496057
